"tract","Name","Fraction_Married_rP_gP_pall"
24510272005,"Cross Country, Baltimore, MD",0.6885
24005403601,"Baltimore, MD",0.653
24005403500,"Pikesville, MD",0.6269
24005403803,"Pikesville, MD",0.6264
24005490500,"Towson, MD",0.6111
24510271400,"Evergreen, Baltimore, MD",0.6011
24027601104,"Ellicott City, MD",0.5994
24005491202,"Towson, MD",0.5866
24005400500,"Catonsville, MD",0.5847
24005490800,"Towson, MD",0.5734
24510272004,"Cheswolde, Baltimore, MD",0.5697
24005440100,"Baltimore, MD",0.5651
24510271300,"Roland Park, Baltimore, MD",0.5642
24005411308,"Nottingham, MD",0.5589
24510271200,"Homeland, Baltimore, MD",0.5528
24005430600,"Relay, Halethorpe, MD",0.5482
24003750400,"Linthicum Heights, MD",0.5475
24510271501,"Mount Washington, Baltimore, MD",0.5445
24005492002,"Parkville, MD",0.5426
24005491000,"Baltimore, MD",0.5425
24005411306,"Nottingham, MD",0.5401
24005451702,"Middle River, MD",0.539
24005400400,"Catonsville, MD",0.5333
24005490603,"Baltimore, MD",0.5326
24005492001,"Parkville, MD",0.5317
24005403702,"Pikesville, MD",0.5282
24005440200,"Nottingham, MD",0.5223
24005403602,"Baltimore, MD",0.5216
24005490602,"Baltimore, MD",0.5176
24005403701,"Owings Mills, MD",0.5158
24003751200,"Linthicum Heights, MD",0.5129
24003750202,"Brooklyn Park, MD",0.5121
24005420303,"Dundalk, MD",0.511
24005490601,"Baltimore, MD",0.5088
24005411302,"White Marsh, MD",0.5086
24005490400,"Towson, MD",0.5075
24005420500,"Baltimore, MD",0.507
24027601103,"West Elkridge, Elkridge, MD",0.504
24005411408,"Nottingham, MD",0.5032
24005451701,"Middle River, MD",0.5031
24510271102,"Mid-Charles, Baltimore, MD",0.503
24005401000,"Catonsville, MD",0.5013
24005400100,"Catonsville, MD",0.5012
24005411307,"Nottingham, MD",0.5011
24005430700,"Halethorpe, MD",0.5007
24005492101,"Parkville, MD",0.4989
24005451900,"Edgemere, MD",0.4985
24005451802,"Middle River, MD",0.4974
24005420702,"Dundalk, MD",0.4972
24510270501,"Woodring, Baltimore, MD",0.4967
24005491100,"Baltimore, MD",0.4923
24005440800,"Rosedale, MD",0.491
24005420100,"Dundalk, MD",0.4904
24005452100,"Sparrows Point, MD",0.4884
24510272006,"Glen, Baltimore, MD",0.4877
24005491500,"Parkville, MD",0.4856
24005440400,"Baltimore, MD",0.4837
24005440500,"Nottingham, MD",0.4783
24027601201,"Elkridge, MD",0.4778
24005451000,"Essex, MD",0.4775
24510272003,"Baltimore, MD",0.4771
24005430400,"Halethorpe, MD",0.4752
24005400702,"Baltimore, MD",0.4736
24005451200,"Middle River, MD",0.4735
24005450900,"Essex, MD",0.473
24005411407,"Parkville, MD",0.4711
24005400200,"Catonsville, MD",0.4698
24005420701,"Dundalk, MD",0.4695
24005440600,"Rosedale, MD",0.4685
24005450300,"Essex, MD",0.4633
24003750300,"Linthicum Heights, MD",0.4621
24005452400,"Dundalk, MD",0.4533
24005420600,"Baltimore, MD",0.453
24005451600,"Middle River, MD",0.4494
24005441102,"Rosedale, MD",0.4493
24005420800,"Dundalk, MD",0.4474
24005450100,"Rosedale, MD",0.4452
24027601204,"Elkridge, MD",0.4452
24510261100,"Canton, Baltimore, MD",0.4443
24005452500,"Dundalk, MD",0.4439
24005440702,"Rosedale, MD",0.4435
24005430200,"Lansdowne - Baltimore Highlands, Lansdowne, MD",0.4408
24005430104,"Lansdowne - Baltimore Highlands, Halethorpe, MD",0.4378
24005430800,"Halethorpe, MD",0.4375
24005420200,"Dundalk, MD",0.4372
24510130804,"Hampden, Baltimore, MD",0.4329
24005441101,"Rosedale, MD",0.4323
24005450400,"Essex, MD",0.4301
24005450200,"Essex, MD",0.4284
24510272007,"Fallstaff, Baltimore, MD",0.4259
24510270703,"North Harford Road, Baltimore, MD",0.4258
24005451300,"Middle River, MD",0.4255
24510120100,"Tuscany - Canterbury, Baltimore, MD",0.4241
24005403300,"Lochearn, Pikesville, MD",0.4235
24005421200,"Dundalk, MD",0.422
24510240200,"Riverside, Baltimore, MD",0.422
24510120202,"Baltimore, MD",0.4215
24005450501,"Essex, MD",0.4215
24005492102,"Parkville, MD",0.4205
24510240400,"Riverside Park, Baltimore, MD",0.4182
24510010100,"Canton, Baltimore, MD",0.4182
24005421102,"Dundalk, MD",0.4178
24005491300,"Baltimore, MD",0.4177
24005420402,"Dundalk, MD",0.4152
24005400800,"Catonsville, MD",0.4149
24005420900,"Dundalk, MD",0.4125
24510020300,"Fells Point, Baltimore, MD",0.4089
24005420302,"Dundalk, MD",0.4059
24510010400,"Canton, Baltimore, MD",0.4024
24510271101,"Radnor - Winston, Baltimore, MD",0.4024
24510220100,"Baltimore, MD",0.4016
24005430900,"Baltimore, MD",0.4005
24003750102,"Baltimore, MD",0.3985
24005403401,"Pikesville, MD",0.3976
24005421101,"Baltimore, MD",0.3957
24005400701,"Catonsville, MD",0.3954
24510230200,"South Baltimore, Baltimore, MD",0.3936
24005452000,"Sparrows Point, MD",0.3927
24510270402,"Glenham-Belford, Baltimore, MD",0.3915
24510250303,"Morrell Park, Baltimore, MD",0.3873
24005400600,"Catonsville, MD",0.3864
24005440900,"Rosedale, MD",0.3849
24510240100,"Locust Point, Baltimore, MD",0.3842
24005492300,"Essex, MD",0.3834
24510250103,"Violetville, Baltimore, MD",0.3799
24510260501,"Joseph Lee, Baltimore, MD",0.3789
24510130600,"Hampden, Baltimore, MD",0.3783
24510270502,"North Harford Road, Baltimore, MD",0.3756
24510260605,"Medford - Broening, Baltimore, MD",0.3751
24003750203,"Baltimore, MD",0.3735
24510130700,"Hampden, Baltimore, MD",0.3726
24005401505,"Catonsville, MD",0.3697
24005403402,"Pikesville, MD",0.3691
24005451402,"Middle River, MD",0.3656
24510270101,"Arcadia, Baltimore, MD",0.3623
24005400900,"Catonsville, MD",0.3616
24510270804,"Lake Walker, Baltimore, MD",0.3609
24003750101,"Brooklyn Park, MD",0.3583
24005420401,"Dundalk, MD",0.3571
24005430300,"Lansdowne - Baltimore Highlands, Halethorpe, MD",0.3563
24005451401,"Middle River, MD",0.3557
24005440701,"Rosedale, MD",0.3514
24510260700,"Fifteenth Street, Baltimore, MD",0.3502
24510250401,"Brooklyn, Baltimore, MD",0.35
24005451500,"Middle River, MD",0.3483
24005421000,"Dundalk, MD",0.3441
24510240300,"Riverside, Baltimore, MD",0.342
24003750201,"Brooklyn, Baltimore, MD",0.3409
24510120201,"Baltimore, MD",0.3389
24005430101,"Lansdowne - Baltimore Highlands, Lansdowne, MD",0.3327
24510270302,"Waltherson, Baltimore, MD",0.3281
24510130803,"Medfield, Baltimore, MD",0.3266
24510260800,"Baltimore Highlands, Baltimore, MD",0.326
24510250206,"Morrell Park, Baltimore, MD",0.3249
24005452300,"Baltimore, MD",0.3236
24005420301,"Dundalk, MD",0.3227
24003751102,"Glen Burnie, MD",0.3215
24510260401,"Armistead Gardens, Baltimore, MD",0.3214
24005491402,"Parkville, MD",0.3197
24510270600,"Harford - Echodale - Perring Parkway, Baltimore, MD",0.3163
24005451100,"Essex, MD",0.3162
24005440300,"Nottingham, MD",0.3083
24510140100,"Bolton Hill, Baltimore, MD",0.3035
24510271503,"Cross Keys, Baltimore, MD",0.3026
24005450800,"Essex, MD",0.3025
