"tract","Name","Density_of_Jobs_in_2013"
24510040100,"Downtown, Baltimore, MD",122894
24510040200,"Downtown, Baltimore, MD",109592
24510060400,"Baltimore, MD",80681
24510070400,"Gay Street, Baltimore, MD",75325
24510100300,"Penn - Fallsway, Baltimore, MD",43650
24510030200,"Little Italy, Baltimore, MD",31831
24510170200,"McCulloh Homes, Baltimore, MD",29906
24510110200,"Downtown, Baltimore, MD",29111
24510120202,"Baltimore, MD",23599
24510020300,"Fells Point, Baltimore, MD",22531
24510110100,"Downtown, Baltimore, MD",21115
24510220100,"Baltimore, MD",19148
24510080102,"Belair - Edison, Baltimore, MD",13340
24510120700,"Remington, Baltimore, MD",12506
24510010400,"Canton, Baltimore, MD",12340
24510120600,"Old Goucher, Baltimore, MD",12195
24510280500,"Pleasant View Gardens, Baltimore, MD",11146
24005490605,"Towson, MD",10944
24510260900,"Baltimore, MD",10469
24510230200,"South Baltimore, Baltimore, MD",8905
24510020200,"Upper Fells Point, Baltimore, MD",8671
24510200100,"Lexington, Baltimore, MD",8529
24510271700,"Central Park Heights, Baltimore, MD",8301
24510280101,"Reisterstown Station, Baltimore, MD",7816
24510240200,"Riverside, Baltimore, MD",7766
24510230100,"Baltimore, MD",7462
24510170100,"Downtown, Baltimore, MD",6824
24510260501,"Joseph Lee, Baltimore, MD",6666
24510140200,"Upton, Baltimore, MD",6575
24510150500,"Burleith-Leighton, Baltimore, MD",6444
24005403702,"Pikesville, MD",6102
24510010100,"Canton, Baltimore, MD",5980
24510260800,"Baltimore Highlands, Baltimore, MD",5950
24510090500,"Better Waverly, Baltimore, MD",5822
24510130700,"Hampden, Baltimore, MD",5725
24510271503,"Cross Keys, Baltimore, MD",5635
24510130600,"Hampden, Baltimore, MD",5196
24510180200,"Poppleton, Baltimore, MD",5088
24510270902,"Perring Loch, Baltimore, MD",4952
24510160300,"Sandtown-Winchester, Baltimore, MD",4939
24005440701,"Rosedale, MD",4722
24510210100,"Pigtown, Baltimore, MD",4719
24510240100,"Locust Point, Baltimore, MD",4633
24005411408,"Nottingham, MD",4538
24510120500,"Greenmount West, Baltimore, MD",4498
24510130804,"Hampden, Baltimore, MD",4196
24005403402,"Pikesville, MD",4184
24510210200,"Pigtown, Baltimore, MD",4138
24005430400,"Halethorpe, MD",4098
24510250203,"Cherry Hill, Baltimore, MD",4078
24510250103,"Violetville, Baltimore, MD",4064
24510080500,"Darley Park, Baltimore, MD",3904
24510090800,"East Baltimore Midway, Baltimore, MD",3880
24005403401,"Pikesville, MD",3720
24510130806,"Woodberry, Baltimore, MD",3645
24510200500,"Mill Hill, Baltimore, MD",3637
24005401000,"Catonsville, MD",3625
24510030100,"Perkins Homes, Baltimore, MD",3624
24510150400,"Mondawmin, Baltimore, MD",3565
24005451200,"Middle River, MD",3555
24510250206,"Morrell Park, Baltimore, MD",3537
24005401102,"Gwynn Oak, Woodlawn, MD",3537
24510270803,"Loch Raven, Baltimore, MD",3475
24510261100,"Canton, Baltimore, MD",3459
24510240300,"Riverside, Baltimore, MD",3299
24510070300,"Milton - Montford, Baltimore, MD",3227
24005401507,"Windsor Mill, Baltimore, MD",3197
