"tract","Name","Number_of_Children_rP_gP_pall"
24005450503,"Essex, MD",2039
24005430300,"Lansdowne - Baltimore Highlands, Halethorpe, MD",1937
24005401101,"Woodlawn, MD",1932
24027601201,"Elkridge, MD",1877
24005411407,"Parkville, MD",1793
24510151300,"Central Park Heights, Baltimore, MD",1788
24005402303,"Windsor Mill, Baltimore, MD",1765
24510160700,"Rosemont, Baltimore, MD",1732
24005420401,"Dundalk, MD",1722
24510272003,"Baltimore, MD",1698
24510271600,"Edgecomb, Baltimore, MD",1664
24510260302,"Belair - Edison, Baltimore, MD",1654
24005450800,"Essex, MD",1626
24510260202,"Parkside, Baltimore, MD",1624
24510151000,"Dorchester, Baltimore, MD",1575
24005491401,"Parkville, MD",1556
24005402404,"Gwynn Oak, Lochearn, MD",1536
24510250204,"Cherry Hill, Baltimore, MD",1536
24005402604,"Randallstown, MD",1531
24510260301,"Belair - Edison, Baltimore, MD",1505
24510070200,"Madison - Eastend, Baltimore, MD",1493
24510271700,"Central Park Heights, Baltimore, MD",1481
24510280403,"Westgate, Baltimore, MD",1477
24510270805,"Mid-Govans, Baltimore, MD",1462
24510250500,"Curtis Bay, Baltimore, MD",1460
24510260102,"Frankford, Baltimore, MD",1458
24005451402,"Middle River, MD",1453
24510280102,"Gwynn Oak, Baltimore, MD",1448
24510151100,"East Arlington, Baltimore, MD",1446
24005440701,"Rosedale, MD",1441
24510250205,"Lakeland, Baltimore, MD",1437
24510150800,"Garwyn Oaks, Baltimore, MD",1425
24510270802,"Ramblewood, Baltimore, MD",1407
24510250402,"Brooklyn, Baltimore, MD",1406
24005440400,"Baltimore, MD",1405
24510160500,"Bridgeview-Greenlawn, Baltimore, MD",1404
24005450504,"Essex, MD",1396
24510151200,"Park Circle, Baltimore, MD",1377
24005441000,"Baltimore, MD",1366
24027601103,"West Elkridge, Elkridge, MD",1360
24027601104,"Ellicott City, MD",1360
24005400400,"Catonsville, MD",1354
24005403701,"Owings Mills, MD",1349
24510270803,"Loch Raven, Baltimore, MD",1337
24005401507,"Windsor Mill, Baltimore, MD",1334
24005430101,"Lansdowne - Baltimore Highlands, Lansdowne, MD",1331
24510280301,"Gwynn Oak, Baltimore, MD",1311
24510271200,"Homeland, Baltimore, MD",1302
24510060200,"Baltimore, MD",1282
24510271002,"Winston - Govans, Baltimore, MD",1261
24005402307,"Pikesville, MD",1259
24510260604,"O'Donnell Heights, Baltimore, MD",1251
24510140200,"Upton, Baltimore, MD",1250
24005451500,"Middle River, MD",1249
24510060100,"Patterson Park, Baltimore, MD",1248
24005411306,"Nottingham, MD",1244
24510270401,"Glenham-Belford, Baltimore, MD",1236
24510271802,"Langston Hughes, Baltimore, MD",1236
24510250301,"Westport, Baltimore, MD",1221
24510150100,"Sandtown-Winchester, Baltimore, MD",1210
24510090700,"Coldstream - Homestead - Montebello, Baltimore, MD",1207
24510080101,"Belair - Edison, Baltimore, MD",1200
24510270801,"Idlewood, Baltimore, MD",1195
24510090600,"Coldstream - Homestead - Montebello, Baltimore, MD",1183
24005430700,"Halethorpe, MD",1181
24510200701,"Allendale, Baltimore, MD",1181
24510250101,"Beechfield, Baltimore, MD",1173
24510090100,"Ednor Gardens - Lakeside, Baltimore, MD",1173
24510270600,"Harford - Echodale - Perring Parkway, Baltimore, MD",1170
24510280404,"Irvington, Baltimore, MD",1167
24510090800,"East Baltimore Midway, Baltimore, MD",1158
24510280200,"Gwynn Oak, Baltimore, MD",1157
